"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Amount","amount","number","The total amount of the deal","2_-_revenue_information","false","","false","true","false","false","false","true","HubSpot","Calculated property (2); Rollup property (1); Inbounddb lists (2); Automation platform flow (1); Report (86); Integration (1); Data sync mapping (1); Dataset (13); Sales view (71); Dependent conditional field (2); Association table card (4); Properties v3 card (4); Association v3 card (1); Controlling pipeline stage field (2)","75.4%","2/9/26 3:48 PM CST","CRM UI"
"Amount in company currency","amount_in_home_currency","number","The amount of the deal, using the exchange rate, in your company's currency","2_-_revenue_information","false","","true","true","true","false","false","true","HubSpot","Calculated property (2); Rollup property (5); Automation platform flow (1); Report (114); Sales view (3); Goal target (360)","75.4%","2/9/26 3:48 PM CST","HubSpot Calculation"
"Annual contract value","hs_acv","number","The annual contract value (ACV) of this deal.","2_-_revenue_information","false","","true","true","true","false","false","true","HubSpot","Dataset (2); Sales view (32); Properties v3 card (2)","15.01%","2/9/26 2:24 PM CST","HubSpot Calculation"
"Exchange rate","hs_exchange_rate","number","This is the exchange rate used to convert the deal amount into your company currency.","2_-_revenue_information","false","","false","true","false","false","false","true","HubSpot","Calculated property (1)","0.46%","3/14/25 11:50 AM CDT","Record Merge"
"Deal Split Added","hs_is_deal_split","bool","Indicates if the deal is split between multiple users.","2_-_revenue_information","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","Properties v3 card (2)","100%","2/5/26 11:35 AM CST","HubSpot Calculation"
"Total contract value","hs_tcv","number","The total contract value (TCV) of this deal.","2_-_revenue_information","false","","true","true","true","false","false","true","HubSpot","Rollup property (1); Report (1); Dataset (3); Sales view (34); Data highlights card (1); Association table card (1); Properties v3 card (3)","15.01%","2/9/26 2:24 PM CST","HubSpot Calculation"
"Amount of in-person meetings (Manual Override)","amount_of_in_person_meetings","number","","4_-_qualification","true","","false","false","false","false","false","false","Andrea Laurent","Dependent conditional field (1); Properties v3 card (1); Controlling pipeline stage field (1)","0.87%","1/27/26 10:56 AM CST","CRM UI"
"Closed Lost - Budget","closed_lost___budget","enumeration","","4_-_qualification","true","Not ICP (Less than $5M Budget); Spending elsewhere; Too expensive; Lack of Belief","false","false","false","false","false","false","Andrea Laurent","Dependent conditional field (1)","3.53%","2/5/26 7:38 AM CST","CRM UI Bulk Action"
"Closed Lost Reason (dropdown)","closed_lost_reason__dropdown_","enumeration","","4_-_qualification","true","Not Qualified; Went Dark; Timing; Budget; Feature Gap; Lost to Competitor; Cancelled Evaluation; BDR - No Show; Other; No Local Focus","false","false","false","false","false","false","Declan Watts","Automation platform flow (1); Report (10); Dataset (1); Sales view (29); Dependent conditional field (2); Controlling conditional field (1); Controlling conditional options field (1); Controlling pipeline stage field (2)","39.47%","2/5/26 8:04 AM CST","CRM UI"
"Closed Won Reason (dropdown)","closed_won_reason__dropdown_","enumeration","Select no more than 3 options","4_-_qualification","true","Actionable Insights (Data&Analytics) (Actionable Insights); Competitive Pricing; Content Preservation; Digital Legacy; FOMO; Global Reach; Limitless Accessibility; Local Focus; Ongoing Account Management; Standard of Excellence; Donors","false","false","false","false","false","false","Andrea Laurent","Automation platform flow (2); Report (1); Dataset (1); Sales view (24); Dependent conditional field (4); Association table card (1); Properties v3 card (1); Controlling pipeline stage field (4)","7.48%","2/2/26 10:09 AM CST","CRM UI"
"Days to close","days_to_close","number","The number of days the deal took to close","4_-_qualification","false","","true","true","false","false","false","true","HubSpot","Report (18); Dataset (1); Sales view (10); Properties v3 card (1)","100%","2/10/26 4:46 PM CST","HubSpot Calculation"
"Deal Classification","deal_classification","enumeration","The Deal Classification indicates how we categorize this deal based on its revenue impact.","4_-_qualification","true","New Business; Renewal; Expansion; Churn; Non-Contracted Services; Account Monitoring; PLG","false","false","false","false","false","false","Nay Luchetti","Automation platform flow (4); Dataset (3); Sales view (28); Properties v3 card (1)","32.49%","2/5/26 11:26 AM CST","Workflow"
"Deal Score","deal_score","number","","4_-_qualification","true","","false","false","false","false","false","false","Andrea Laurent","","43.46%","9/9/25 12:29 PM CDT","Record Merge"
"Deal Type","dealtype","enumeration","The type of deal. By default, categorize your deal as either a New Business or Existing Business.","4_-_qualification","false","Net New (newbusiness); Renewal (existingbusiness); Expansion (expansionbusiness) [HIDDEN]; Downgrade; Cancellation; Win-back; Ads; Leads [HIDDEN]","false","true","false","false","false","true","HubSpot","Rollup property (1); Inbounddb lists (3); Automation platform flow (20); Object requirement (1); Flow action (2); Report (65); Association card (1); Dataset (9); Sales view (39); Controlling conditional field (1); Pipeline object tag (3); Controlling conditional options field (8); Association table card (4); Properties v3 card (7); Association v3 card (1); Crm container view (1)","81.23%","2/5/26 11:35 AM CST","CRM UI"
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","4_-_qualification","false","","true","true","false","true","false","true","HubSpot","Report (2); Sales view (30); Properties v3 card (2)","97.8%","2/5/26 11:35 AM CST","CRM UI"
"Deal Score","hs_deal_score","number","The predictive deal score calculated by Hubspot AI to score the deal health","4_-_qualification","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (1); Properties v3 card (1)","17.76%","2/10/26 5:58 PM CST","HubSpot AI"
"Deal probability","hs_deal_stage_probability","number","The probability a deal will close. This defaults to the deal stage probability setting.","4_-_qualification","false","","false","true","false","false","false","true","HubSpot","Calculated property (4); Rollup property (4); Report (4); Properties v3 card (1)","100%","2/10/26 4:46 PM CST","HubSpot Calculation"
"Forecast amount","hs_forecast_amount","number","The custom forecasted deal value calculated by multiplying the forecast probability and deal amount in your company’s currency.","4_-_qualification","false","","true","true","true","false","false","true","HubSpot","Report (1); Sales view (22); Properties v3 card (1)","75.4%","2/9/26 3:48 PM CST","HubSpot Calculation"
"Forecast probability","hs_forecast_probability","number","The custom percent probability a deal will close.","4_-_qualification","false","","false","true","false","false","false","true","HubSpot","Calculated property (1); Automation platform flow (1); Properties v3 card (1)","63.61%","9/9/25 12:29 PM CDT","Record Merge"
"Forecast category","hs_manual_forecast_category","enumeration","The likelihood a deal will close. This property is used for manual forecasting your deals.","4_-_qualification","false","Not forecasted (OMIT) [READ-ONLY]; Pipeline (PIPELINE); Best case (BEST_CASE); Commit (COMMIT); Closed won (CLOSED) [READ-ONLY]","false","true","false","false","false","true","HubSpot","Automation platform flow (4); Report (2); Dataset (1); Properties v3 card (1)","97.66%","2/10/26 4:46 PM CST","Workflow"
"Priority","hs_priority","enumeration","","4_-_qualification","false","Low (low); Medium (medium); High (high)","false","true","false","false","false","true","HubSpot","Sales view (2); Properties v3 card (3)","0%","",""
"Weighted amount","hs_projected_amount","number","Returns the multiplication of the amount times the probability of the deal closing.","4_-_qualification","false","","true","true","false","false","false","true","HubSpot","Report (5); Sales view (22); Properties v3 card (1)","75.4%","2/10/26 4:46 PM CST","HubSpot Calculation"
"Weighted amount in company currency","hs_projected_amount_in_home_currency","number","The deal’s amount in home currency multiplied by its probability of closing, which is determined based on the deal’s stage and the probability that was assigned to it in deal pipeline settings.","4_-_qualification","false","","true","true","false","false","false","true","HubSpot","Report (5); Properties v3 card (1)","75.4%","2/10/26 4:46 PM CST","HubSpot Calculation"
"Shared teams","hs_shared_team_ids","enumeration","Additional teams whose users can access the Deal based on their permissions. This can be set manually or through Workflows or APIs.","4_-_qualification","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Shared users","hs_shared_user_ids","enumeration","Additional users that can access the Deal based on their permissions. This can be set manually or through Workflows and APIs.","4_-_qualification","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Deal Tags","hs_tag_ids","enumeration","List of tag ids applicable to a deal. This property is set automatically by HubSpot.","4_-_qualification","false","","true","true","false","true","false","true","HubSpot","Report (1); Sales view (31); Properties v3 card (1)","48.23%","2/10/26 5:02 PM CST","CRM Setting"
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","4_-_qualification","false","","true","true","false","true","false","true","HubSpot","","100%","2/10/26 4:46 PM CST","CRM UI"
"HubSpot Team","hubspot_team_id","enumeration","The team of the owner of the deal.","4_-_qualification","false","","true","true","false","true","false","true","HubSpot","Report (32)","88.34%","2/5/26 11:35 AM CST","CRM UI"
"Pray Source","pray_source","enumeration","","4_-_qualification","true","Conference; Referral; Agency; Lead List; TV; Radio; Social; BDR; Vendor; Personal Network; Instagram; Facebook; LinkedIn","false","false","false","false","false","false","Andrea Laurent","Report (19); Sales view (1); Controlling conditional field (3)","29.46%","9/9/25 12:29 PM CDT","Record Merge"
"Recurring revenue deal type","recurring_revenue_deal_type","enumeration","Deal type for recurring revenue reporting","4_-_qualification","false","New business (NEW_BUSINESS); Upgrade (UPGRADE); Downgrade (DOWNGRADE); Renewal (RENEWAL)","false","true","false","false","false","true","HubSpot","Automation platform flow (1); Properties v3 card (1)","0%","12/16/25 3:08 AM CST","Workflow"
"Closed Lost Reason (Ads) - details","closed_lost_reason__ads____detail","string","","ads&others","true","","false","false","false","false","false","false","Andrea Laurent","Properties v3 card (1)","0%","",""
"Closed Lost Reason (Ads) - dropdown","closed_lost_reason__ads____dropdown","enumeration","","ads&others","true","Budget; Cancelled evaluation; Feature gap; Lost to competitor; Not qualified; Timing; Went dark; Other","false","false","false","false","false","false","Andrea Laurent","Dependent conditional field (1); Properties v3 card (1); Controlling pipeline stage field (1)","11.75%","1/20/26 9:46 AM CST","CRM UI"
"Closed Won Reason  (Ads) - dropdown","closed_won__ads____dropdown","enumeration","","ads&others","true","Price; Omnichanel Approach; Audicence; Timing","false","false","false","false","false","false","Andrea Laurent","Properties v3 card (1)","0%","",""
"Closed Won Reason (Ads) - details","closed_won_reason__ads____details","string","","ads&others","true","","false","false","false","false","false","false","Andrea Laurent","Properties v3 card (1)","0%","",""
"Cumulative time in ""Proposal (Ads and Other)""","hs_v2_cumulative_time_in_1558618","number","The cumulative time in seconds spent by the deal in the 'Proposal' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","14.59%","2/3/26 4:59 PM CST","HubSpot Calculation"
"Cumulative time in ""Pitch (Ads and Other)""","hs_v2_cumulative_time_in_544672","number","The cumulative time in seconds spent by the deal in the 'Pitch' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","14.18%","2/3/26 4:59 PM CST","HubSpot Calculation"
"Cumulative time in ""Qualifying & Discovery (Ads and Other)""","hs_v2_cumulative_time_in_544674","number","The cumulative time in seconds spent by the deal in the 'Qualifying & Discovery' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","17.26%","2/3/26 4:59 PM CST","HubSpot Calculation"
"Cumulative time in ""Closed won (Ads and Other)""","hs_v2_cumulative_time_in_544675","number","The cumulative time in seconds spent by the deal in the 'Closed won' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","0.41%","8/18/25 11:53 AM CDT","HubSpot Calculation"
"Cumulative time in ""Closed lost (Ads and Other)""","hs_v2_cumulative_time_in_544676","number","The cumulative time in seconds spent by the deal in the 'Closed lost' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","1.1%","12/2/25 9:40 AM CST","HubSpot Calculation"
"Cumulative time in ""Contract Sent (Ads and Other)""","hs_v2_cumulative_time_in_59159965","number","The cumulative time in seconds spent by the deal in the 'Contract Sent' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","7.76%","2/5/26 11:54 AM CST","HubSpot Calculation"
"Date entered ""Proposal (Ads and Other)""","hs_v2_date_entered_1558618","datetime","The date and time when the deal entered the 'Proposal' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","15.28%","2/3/26 4:59 PM CST","HubSpot Calculation"
"Date entered ""Pitch (Ads and Other)""","hs_v2_date_entered_544672","datetime","The date and time when the deal entered the 'Pitch' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","15.01%","2/3/26 4:59 PM CST","HubSpot Calculation"
"Date entered ""Qualifying & Discovery (Ads and Other)""","hs_v2_date_entered_544674","datetime","The date and time when the deal entered the 'Qualifying & Discovery' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","17.85%","2/3/26 4:49 PM CST","HubSpot Calculation"
"Date entered ""Closed won (Ads and Other)""","hs_v2_date_entered_544675","datetime","The date and time when the deal entered the 'Closed won' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","8.86%","2/5/26 11:54 AM CST","HubSpot Calculation"
"Date entered ""Closed lost (Ads and Other)""","hs_v2_date_entered_544676","datetime","The date and time when the deal entered the 'Closed lost' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","12.9%","1/20/26 9:46 AM CST","HubSpot Calculation"
"Date entered ""Contract Sent (Ads and Other)""","hs_v2_date_entered_59159965","datetime","The date and time when the deal entered the 'Contract Sent' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","7.8%","2/3/26 4:59 PM CST","HubSpot Calculation"
"Date exited ""Proposal (Ads and Other)""","hs_v2_date_exited_1558618","datetime","The date and time when the deal exited the 'Proposal' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","14.59%","2/3/26 4:59 PM CST","HubSpot Calculation"
"Date exited ""Pitch (Ads and Other)""","hs_v2_date_exited_544672","datetime","The date and time when the deal exited the 'Pitch' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","14.18%","2/3/26 4:59 PM CST","HubSpot Calculation"
"Date exited ""Qualifying & Discovery (Ads and Other)""","hs_v2_date_exited_544674","datetime","The date and time when the deal exited the 'Qualifying & Discovery' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","17.26%","2/3/26 4:59 PM CST","HubSpot Calculation"
"Date exited ""Closed won (Ads and Other)""","hs_v2_date_exited_544675","datetime","The date and time when the deal exited the 'Closed won' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","0.41%","8/18/25 11:53 AM CDT","HubSpot Calculation"
"Date exited ""Closed lost (Ads and Other)""","hs_v2_date_exited_544676","datetime","The date and time when the deal exited the 'Closed lost' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","1.1%","12/2/25 9:40 AM CST","HubSpot Calculation"
"Date exited ""Contract Sent (Ads and Other)""","hs_v2_date_exited_59159965","datetime","The date and time when the deal exited the 'Contract Sent' stage, 'Ads and Other' pipeline","ads&others","false","","true","true","false","false","false","true","HubSpot","","7.76%","2/5/26 11:54 AM CST","HubSpot Calculation"
"Latest time in ""Proposal (Ads and Other)""","hs_v2_latest_time_in_1558618","number","The total time in seconds spent by the deal in the 'Proposal' stage, 'Ads and Other' pipeline since it last entered this stage","ads&others","false","","true","true","false","false","false","true","HubSpot","","14.59%","2/3/26 4:59 PM CST","HubSpot Calculation"
